,PI,Intervention,prev_obs,prev_obs_max,prev_obs_min,prev_pred_1,prev_pred_1_max,prev_pred_1_min,prev_pred_2,prev_pred_2_max,prev_pred_2_min,prev_pred_3,prev_pred_3_max,prev_pred_3_min,prev_pred_4,prev_pred_4_max,prev_pred_4_min,prev_pred_5,prev_pred_5_max,prev_pred_5_min,prev_pred_6,prev_pred_6_max,prev_pred_6_min,intvn_colour,study_order,study_colour,study_symbol,time_months,location
1,Corbel,ITN,0.2,0.24,0.16,0.3111865,0.3329882,0.28748805,0.3216085,0.343746025,0.299113725,0.2998775,0.321116475,0.275638375,0.243344,0.265400125,0.2218905,0.253986,0.2757257,0.229997775,0.232681,0.2561889,0.211893125,darkred,1,red,1,1,West
4,Curtis,None,0.834,0.834,0.834,0.81717,0.805963625,0.826834175,0.817077,0.8061871,0.82630185,0.8172585,0.806554025,0.8269844,0.8172525,0.806218275,0.827488475,0.817349,0.805678075,0.827649125,0.8169185,0.806677675,0.826965325,orange,2,darkred,2,2,East
5,Curtis,None,0.853,0.853,0.853,0.8224985,0.81291935,0.83188165,0.82257,0.812142925,0.832223825,0.8225015,0.8124424,0.83221595,0.8221645,0.81214395,0.832146725,0.822522,0.8121994,0.83266365,0.822174,0.811708675,0.83238015,orange,2,darkred,2,5,East
6,Curtis,None,0.817,0.817,0.817,0.7508195,0.735228,0.7645754,0.7512865,0.734340975,0.7656157,0.7507425,0.7370385,0.76510615,0.7512945,0.736449975,0.7649486,0.7508505,0.73659305,0.764399875,0.7500935,0.734566675,0.765476125,orange,2,darkred,2,8,East
7,Curtis,None,0.675,0.675,0.675,0.7989195,0.784265,0.811934425,0.798826,0.783689075,0.811454075,0.7990835,0.784370525,0.811694,0.7991725,0.78380115,0.81126735,0.7991685,0.784293275,0.81228605,0.7984575,0.78346615,0.812444875,orange,2,darkred,2,11,East
8,Curtis,CTN,0.841,0.841,0.841,0.781389,0.76918865,0.793660025,0.781902,0.768842675,0.7940802,0.7815005,0.768623775,0.79471365,0.781689,0.768429,0.792626,0.7815435,0.76851305,0.793565225,0.781628,0.7689608,0.794246325,darkred,2,darkred,2,2,East
9,Curtis,CTN,0.792,0.792,0.792,0.777224,0.7633064,0.789859425,0.7771575,0.7633005,0.7905752,0.776995,0.76380635,0.790177775,0.77737,0.763088325,0.789945425,0.776905,0.7631427,0.790656025,0.777568,0.764094525,0.79001825,darkred,2,darkred,2,5,East
10,Curtis,CTN,0.734,0.734,0.734,0.660784,0.644538175,0.676439475,0.661326,0.6449104,0.6776844,0.6610105,0.643815175,0.6767726,0.661114,0.644236575,0.676034025,0.6613055,0.644585275,0.677249125,0.661328,0.644618325,0.676366775,darkred,2,darkred,2,8,East
11,Curtis,CTN,0.603,0.603,0.603,0.6934855,0.676262025,0.7116738,0.694227,0.6764817,0.712479475,0.6940395,0.674689025,0.711700575,0.6938765,0.67524405,0.71120155,0.6937785,0.675015075,0.7114957,0.6943675,0.6751852,0.71111885,darkred,2,darkred,2,11,East
12,Curtis,IRS,0.762,0.762,0.762,0.6384055,0.6209786,0.654405125,0.63756,0.6220473,0.65445275,0.6375905,0.6211235,0.6547765,0.638433,0.62188325,0.65542755,0.637736,0.620779675,0.654696525,0.638119,0.622487175,0.654844825,black,2,darkred,2,2,East
13,Curtis,IRS,0.801,0.801,0.801,0.610846,0.578932675,0.639717325,0.60946,0.579900425,0.63987865,0.6102705,0.579108775,0.6410884,0.6099635,0.5813918,0.64251295,0.6103115,0.580230225,0.639793925,0.6107805,0.5800139,0.6408596,black,2,darkred,2,5,East
14,Curtis,IRS,0.73,0.73,0.73,0.481045,0.45084225,0.509520425,0.4801475,0.451335225,0.50873285,0.4804635,0.45033935,0.508007275,0.481191,0.4536111,0.510389875,0.4805305,0.451166625,0.50912515,0.481737,0.4520033,0.508653,black,2,darkred,2,8,East
15,Curtis,IRS,0.637,0.637,0.637,0.3665415,0.3374593,0.3943477,0.3653115,0.336598875,0.396172825,0.36606,0.3372858,0.3961293,0.366405,0.337120975,0.394645125,0.36606,0.3371601,0.393962625,0.3661095,0.336389325,0.39709145,black,2,darkred,2,11,East
16,D'Alessandro,None,0.367,0.367,0.367,0.3673805,0.3847406,0.35119985,0.3761555,0.39182245,0.359967,0.352652,0.36699725,0.336838625,0.37801,0.394613075,0.3611356,0.380613,0.39680165,0.36400115,0.356973,0.3728834,0.3411123,grey,3,red,3,1,West
17,D'Alessandro,None,0.33,0.33,0.33,0.3041205,0.319553625,0.288407975,0.3131895,0.327935025,0.297095025,0.28834,0.3041936,0.2734356,0.3144475,0.3297781,0.30019925,0.317851,0.334397675,0.30292225,0.293732,0.3085158,0.277869425,grey,3,red,3,1,West
18,D'Alessandro,None,0.258,0.258,0.258,0.3704715,0.387021025,0.354815475,0.3828795,0.398108725,0.365752775,0.348847,0.3649805,0.332902525,0.3846135,0.4021894,0.368757,0.389217,0.4069334,0.372899325,0.356084,0.3727287,0.3403552,grey,3,red,3,1,West
19,D'Alessandro,None,0.533,0.533,0.533,0.5601245,0.57664315,0.5437088,0.5667155,0.583715375,0.5488922,0.5503035,0.5668982,0.533596675,0.5672985,0.583624,0.550245175,0.5694395,0.58680085,0.55441025,0.553563,0.569925225,0.5379402,grey,3,red,3,1,West
20,D'Alessandro,None,0.447,0.447,0.447,0.691946,0.708145225,0.677196725,0.69468,0.7105006,0.680007475,0.6839985,0.6991159,0.667874675,0.6969145,0.713088625,0.681979325,0.697581,0.7137528,0.682956,0.68577,0.700388025,0.669601875,grey,3,red,3,1,West
21,D'Alessandro,ITN,0.282,0.282,0.282,0.207007,0.223234125,0.193846375,0.20848,0.2225802,0.194473,0.2240205,0.240004675,0.20926395,0.2365955,0.2522812,0.221210475,0.225097,0.23928825,0.20979585,0.2539885,0.26984875,0.2387774,darkred,3,red,3,1,West
22,D'Alessandro,ITN,0.228,0.228,0.228,0.1519365,0.165800025,0.13944515,0.1527185,0.165961175,0.13981675,0.1655525,0.1791257,0.1521636,0.175975,0.190349,0.1628517,0.166583,0.1811761,0.1537372,0.192783,0.205498,0.178956525,darkred,3,red,3,1,West
23,D'Alessandro,ITN,0.159,0.159,0.159,0.173922,0.186641675,0.1603596,0.1746635,0.18817215,0.161688075,0.1887775,0.20324115,0.1747199,0.2022615,0.2172736,0.1879909,0.190975,0.20511265,0.1772409,0.220589,0.235401775,0.205002825,darkred,3,red,3,1,West
24,D'Alessandro,ITN,0.431,0.431,0.431,0.4322955,0.451397275,0.414152725,0.434222,0.452145975,0.41463115,0.447731,0.466771075,0.429698125,0.4606455,0.478374375,0.441319175,0.4507515,0.4689147,0.43115175,0.4741265,0.49195355,0.457195725,darkred,3,red,3,1,West
25,D'Alessandro,ITN,0.71,0.71,0.71,0.5847275,0.6030132,0.565023075,0.5860005,0.60285865,0.567592575,0.5975485,0.615121475,0.582127775,0.609503,0.62725065,0.59270805,0.6005085,0.6182312,0.583118325,0.6206345,0.638009675,0.602751475,darkred,3,red,3,1,West
26,Henry,None,0.685,0.721,0.649,0.791718,0.804866725,0.7784966,0.7909865,0.803294725,0.7773825,0.7910555,0.803639625,0.778192625,0.791237,0.804902275,0.778465575,0.7911955,0.8053371,0.778661825,0.7915805,0.805458525,0.7775152,grey,4,orange,4,48,West
27,Henry,ITN,0.566,0.602,0.53,0.4588975,0.4857747,0.43279905,0.4589955,0.487528875,0.434883625,0.4588875,0.48690545,0.433100175,0.4596,0.485550175,0.4318269,0.4581555,0.486854875,0.434716525,0.4588325,0.48813065,0.43401055,darkred,4,orange,4,48,West
28,Kafy,ITN,0.05,0.02,0.1,0.02818305,0.037669143,0.019732833,0.0279924,0.037533783,0.019900033,0.02783655,0.037227758,0.01974885,0.02794705,0.037259153,0.019786823,0.02760465,0.03748268,0.01960822,0.02807025,0.037369255,0.019361683,darkred,5,blue,5,21,
29,Kafy,ITN,0.05,0.03,0.09,0.020946,0.02945571,0.013545613,0.0211623,0.029787663,0.01300793,0.0208028,0.029715385,0.013689028,0.0207046,0.030151808,0.013040693,0.0207456,0.029858143,0.01281623,0.02087635,0.031249278,0.012745103,darkred,5,blue,5,33,
30,Kafy,ITN_IRS,0.04,0.02,0.07,0.0287733,0.038574675,0.02066565,0.02882795,0.038760118,0.02003735,0.0291146,0.039156758,0.020674218,0.0287581,0.039031028,0.020146173,0.02893045,0.03910203,0.020548973,0.02862085,0.03953877,0.02058386,aquamarine3,5,blue,5,21,
31,Kafy,ITN_IRS,0.03,0.02,0.05,0.01296435,0.020626323,0.00740815,0.01315035,0.020408178,0.007033961,0.01312245,0.020284113,0.007192308,0.01300905,0.01984845,0.007394542,0.0131215,0.02153336,0.007078576,0.01290225,0.020983458,0.007559948,aquamarine3,5,blue,5,33,
40,Marbiah,None,0.476,0.476,0.476,0.5046915,0.518415875,0.48894225,0.504752,0.518285525,0.489034325,0.5044955,0.5183465,0.489345075,0.504687,0.51864635,0.489033675,0.5047625,0.5183465,0.48896835,0.504657,0.51864635,0.489075,grey,6,darkgreen,6,15,West
41,Marbiah,ITN,0.345,0.345,0.345,0.4017985,0.414764075,0.38888275,0.40239,0.4153902,0.3878633,0.4083065,0.421293125,0.39410695,0.4157185,0.428917025,0.4014721,0.410308,0.42218995,0.3966995,0.4230715,0.43580945,0.408846575,darkred,6,darkgreen,6,15,West
42,Philips-Howard,None,0.514,0.514,0.514,0.68983,0.7129195,0.656634825,0.690937,0.71372555,0.657077725,0.694446,0.716627575,0.661568725,0.695984,0.71763465,0.66335215,0.6936495,0.716774775,0.659791825,0.698916,0.719885275,0.66862395,grey,7,darkblue,7,22,East
43,Philips-Howard,None,0.391,0.391,0.391,0.28387,0.312156925,0.245951125,0.286967,0.316157325,0.249626,0.3289575,0.359313375,0.2908355,0.3757255,0.404651625,0.33643505,0.341167,0.371249,0.304014825,0.4171575,0.449489325,0.37883495,grey,7,darkblue,7,40,East
44,Philips-Howard,ITN,0.325,0.325,0.325,0.2620905,0.29231375,0.22518205,0.264327,0.2952952,0.23137755,0.310943,0.3394962,0.272835575,0.3564715,0.38556115,0.31570055,0.3215785,0.35004225,0.2855804,0.40368,0.429771075,0.3643451,darkred,7,darkblue,7,22,East
45,Philips-Howard,ITN,0.338,0.338,0.338,0.221131,0.25147945,0.184377375,0.224194,0.252378475,0.191181125,0.268706,0.296919475,0.23030055,0.317275,0.34663095,0.280767475,0.2824755,0.312671,0.245501125,0.364098,0.392697725,0.325008625,darkred,7,darkblue,7,40,East
48,Protopopoff,ITN,0.555,0.555,0.555,0.756077,0.776034925,0.7251532,0.7740025,0.7906925,0.747436125,0.7072595,0.734663475,0.67017045,0.6329795,0.669113825,0.58808675,0.720136,0.749041475,0.680236225,0.5961915,0.63543875,0.552295725,darkred,8,green,8,4,East
49,Protopopoff,ITN,0.553,0.553,0.553,0.646602,0.67325115,0.60738325,0.666841,0.693604375,0.629382975,0.613293,0.643965525,0.571913925,0.497059,0.5369514,0.4489103,0.5925385,0.627317625,0.54793245,0.468893,0.511077675,0.421722075,darkred,8,green,8,9,East
50,Protopopoff,ITN,0.53,0.53,0.53,0.785725,0.801348,0.76078635,0.790894,0.805070325,0.767958825,0.77895,0.795372025,0.75458915,0.7277605,0.7536854,0.689670475,0.7667905,0.7858933,0.739148425,0.716847,0.743717875,0.676672275,darkred,8,green,8,16,East
51,Protopopoff,ITN,0.68,0.68,0.68,0.6807215,0.7039205,0.6485838,0.68444,0.708840475,0.64935745,0.6758285,0.70049905,0.640913575,0.6110525,0.64361045,0.57032065,0.655167,0.683267625,0.619727625,0.6041245,0.636436275,0.561695375,darkred,8,green,8,21,East
54,Protopopoff,PBO_ITN,0.458,0.458,0.458,0.611784,0.660201525,0.5367562,0.6374285,0.6860034,0.56551885,0.61723,0.66386625,0.54738985,0.4643705,0.508918325,0.4062356,0.526978,0.5791784,0.458083625,0.472813,0.519749225,0.412356725,blue,8,green,8,4,East
55,Protopopoff,PBO_ITN,0.311,0.311,0.311,0.517457,0.566726325,0.441362325,0.536791,0.5849104,0.465394325,0.520248,0.56809585,0.452355125,0.321725,0.370311125,0.262568475,0.4108965,0.4700887,0.3390723,0.33345,0.3857768,0.2740127,blue,8,green,8,9,East
56,Protopopoff,PBO_ITN,0.348,0.348,0.348,0.737476,0.766968875,0.682997425,0.7420115,0.771897925,0.68893815,0.7340365,0.7639167,0.68002225,0.61934,0.671390075,0.534157325,0.692621,0.733344425,0.623377575,0.624057,0.676049025,0.540498375,blue,8,green,8,16,East
57,Protopopoff,PBO_ITN,0.459,0.459,0.459,0.624123,0.661211575,0.563401225,0.6272535,0.664970975,0.5670808,0.6195975,0.65641185,0.5551438,0.517332,0.566746675,0.442232975,0.580556,0.625692775,0.51451385,0.519929,0.5675479,0.448946775,blue,8,green,8,21,East
60,Protopopoff,ITN_IRS,0.386,0.386,0.386,0.5282365,0.550622025,0.503078575,0.530898,0.5516111,0.50703705,0.5406295,0.56956415,0.50811805,0.489825,0.513718525,0.4635734,0.51027,0.535066125,0.485094775,0.503038,0.529380925,0.4726217,aquamarine3,8,green,8,4,East
61,Protopopoff,ITN_IRS,0.264,0.264,0.264,0.2984795,0.325273725,0.27247055,0.2958,0.320540575,0.2715532,0.321855,0.35477025,0.288048975,0.269809,0.2959173,0.2454621,0.281815,0.307631375,0.25729685,0.2913895,0.3239901,0.26375255,aquamarine3,8,green,8,9,East
62,Protopopoff,ITN_IRS,0.399,0.399,0.399,0.7224975,0.747246475,0.690639925,0.7262695,0.748651025,0.69621145,0.7181785,0.74319465,0.687218275,0.65198,0.6871389,0.60778555,0.6984645,0.7276003,0.661404475,0.6477165,0.68312315,0.604304725,aquamarine3,8,green,8,16,East
63,Protopopoff,ITN_IRS,0.551,0.551,0.551,0.6567275,0.682898725,0.6240662,0.659805,0.684850225,0.628903975,0.6524205,0.678147,0.619589175,0.589094,0.621869875,0.549296025,0.6324115,0.66197065,0.598981775,0.583373,0.618085475,0.54510015,aquamarine3,8,green,8,21,East
66,Protopopoff,PBO_ITN_IRS,0.375,0.375,0.375,0.41962,0.46156875,0.3459645,0.425199,0.4661797,0.35157335,0.444901,0.49183655,0.36508855,0.38686,0.424739175,0.3198829,0.399649,0.439751725,0.331552325,0.39386,0.434267425,0.325150325,purple,8,green,8,4,East
67,Protopopoff,PBO_ITN_IRS,0.286,0.286,0.286,0.217636,0.2527818,0.169517725,0.2189885,0.253667025,0.1733201,0.241824,0.283405925,0.185959625,0.1892805,0.2182657,0.151349775,0.200109,0.2327615,0.15852575,0.198759,0.229610175,0.1569068,purple,8,green,8,9,East
68,Protopopoff,PBO_ITN_IRS,0.291,0.291,0.291,0.596822,0.6648164,0.4487502,0.603514,0.668963725,0.45844345,0.5978885,0.6628065,0.456210825,0.4384955,0.531034825,0.288624075,0.5269585,0.610778675,0.379960125,0.4523385,0.54098795,0.3075575,purple,8,green,8,16,East
69,Protopopoff,PBO_ITN_IRS,0.437,0.437,0.437,0.5510955,0.604680275,0.441835275,0.555289,0.6085541,0.4467973,0.545636,0.60098515,0.438632025,0.433943,0.503007125,0.309947,0.502995,0.563744275,0.38732615,0.4364235,0.504960525,0.31832015,purple,8,green,8,21,East
72,West,ITN,0.23,0.342,0.154,0.291997,0.3146543,0.26709215,0.3045015,0.3290454,0.260605525,0.2757825,0.296521525,0.25073715,0.223246,0.243592175,0.201404325,0.2486755,0.2714798,0.224210975,0.221887,0.241820175,0.2011849,darkred,9,gold2,9,11,East
73,West,ITN,0.3,0.434,0.202,0.319102,0.3424521,0.291711825,0.3274115,0.35240915,0.293272175,0.30697,0.32724405,0.282412725,0.261711,0.283744575,0.240122025,0.283408,0.3062977,0.2599786,0.260555,0.2833622,0.24047015,darkred,9,gold2,9,15,East
74,West,ITN,0.24,0.389,0.142,0.2651395,0.285252975,0.242832575,0.2701485,0.292183425,0.244245125,0.2577525,0.275458675,0.235373575,0.224696,0.24413245,0.205992025,0.2409425,0.2609016,0.220523975,0.224102,0.24349675,0.204425725,darkred,9,gold2,9,19,East
75,West,ITN_IRS,0.136,0.214,0.083,0.1630195,0.1827888,0.142599525,0.1735845,0.19480015,0.153784175,0.150657,0.170631925,0.13220415,0.1254275,0.14366755,0.107337725,0.1397635,0.158696125,0.120397075,0.1484305,0.16920035,0.129751275,aquamarine3,9,gold2,9,11,East
76,West,ITN_IRS,0.127,0.21,0.074,0.1297135,0.148578325,0.111053575,0.1365475,0.157817475,0.119502325,0.1222115,0.14192015,0.104816925,0.105946,0.1241539,0.087969393,0.114858,0.133322475,0.09719558,0.1285525,0.149962475,0.11075955,aquamarine3,9,gold2,9,15,East
77,West,ITN_IRS,0.134,0.234,0.073,0.1553465,0.177638875,0.13180755,0.160639,0.184762775,0.13927985,0.1498715,0.172574625,0.12706445,0.1326675,0.156437525,0.108578725,0.14288,0.1668285,0.11927195,0.1625075,0.188060475,0.1387695,aquamarine3,9,gold2,9,19,East
78,Chaccour,ITN,0.43,0.43,0.43,0.40197,0.4382458,0.31597305,0.4004955,0.438635925,0.32401735,0.40147,0.4395423,0.33336115,0.401834,0.44023955,0.32289285,0.40068,0.4387456,0.32177695,0.401169,0.4398086,0.3179947,darkred,10,grey,10,17,East
79,Chaccour,ITN_IRS,0.34,0.34,0.34,0.22929,0.2812552,0.1477702,0.228273,0.282525825,0.1398031,0.2303,0.280115425,0.149024925,0.227498,0.282562525,0.151734825,0.229518,0.281319,0.149127575,0.229293,0.2864841,0.140551,aquamarine3,10,grey,10,17,East
80,Staedke,ITN,0.145,0.145,0.145,0.1956055,0.23210585,0.15522735,0.214927,0.2530867,0.173521425,0.167772,0.200189725,0.13243565,0.143113,0.1711612,0.1125424,0.175646,0.21115255,0.138665175,0.137061,0.163159025,0.108553625,darkred,11,aquamarine1,11,12,East
81,Staedke,ITN,0.13,0.13,0.13,0.21145,0.2508242,0.16723555,0.2321115,0.2724034,0.189742875,0.184561,0.222171125,0.1437601,0.1189085,0.14746955,0.090009983,0.1753335,0.215398,0.134816275,0.112789,0.140222,0.086218695,darkred,11,aquamarine1,11,18,East
82,Staedke,ITN,0.14,0.14,0.14,0.2340955,0.27233345,0.188496425,0.246656,0.286320975,0.20218925,0.2171405,0.255847625,0.174241525,0.1379575,0.1722284,0.10180455,0.197842,0.239898475,0.152948775,0.13246,0.165916825,0.099050588,darkred,11,aquamarine1,11,24,East
83,Staedke,PBO_ITN,0.107,0.107,0.107,0.147499,0.176092,0.11707175,0.186976,0.222143275,0.149212725,0.1520835,0.181759825,0.12059765,0.118956,0.1437569,0.094212218,0.1195975,0.14302225,0.09427566,0.131305,0.157409075,0.1022864,blue,11,aquamarine1,11,12,East
84,Staedke,PBO_ITN,0.106,0.106,0.106,0.153416,0.187362475,0.118908725,0.198559,0.23428395,0.159082825,0.157776,0.1903794,0.122240675,0.07651515,0.097751425,0.05671982,0.07712785,0.096834193,0.057033913,0.1087765,0.13933555,0.079852535,blue,11,aquamarine1,11,18,East
85,Staedke,PBO_ITN,0.118,0.118,0.118,0.195144,0.233165975,0.152815725,0.2228695,0.260980575,0.1798151,0.19434,0.230800525,0.1529031,0.08576955,0.11493395,0.059181203,0.0864583,0.11366595,0.05849486,0.1395075,0.1782572,0.10099575,blue,11,aquamarine1,11,24,East
86,Nevill,None,0.392,0.392,0.392,0.40197,0.4382458,0.31597305,0.4004955,0.438635925,0.32401735,0.40147,0.4395423,0.33336115,0.401834,0.44023955,0.32289285,0.40068,0.4387456,0.32177695,0.401169,0.4398086,0.3179947,grey,12,black,12,20,East
87,Nevill,None,0.254,0.254,0.254,0.352417,0.38118385,0.28359015,0.351882,0.383204575,0.2892314,0.352103,0.3842608,0.2970225,0.352111,0.3827539,0.2889719,0.35156,0.3826661,0.2883631,0.351931,0.3829602,0.28316475,grey,12,black,12,24,East
88,Nevill,None,0.115,0.115,0.115,0.26225,0.2913139,0.20114335,0.2614555,0.2921851,0.205489225,0.262413,0.293207,0.21369825,0.262244,0.294086,0.2061185,0.261395,0.2922448,0.2052869,0.261455,0.29320365,0.2007174,grey,12,black,12,27,East
89,Nevill,ITN,0.168,0.168,0.168,0.22929,0.2812552,0.1477702,0.228273,0.282525825,0.1398031,0.2303,0.280115425,0.149024925,0.227498,0.282562525,0.151734825,0.229518,0.281319,0.149127575,0.229293,0.2864841,0.140551,darkred,12,black,12,20,East
90,Nevill,ITN,0.12,0.12,0.12,0.2008185,0.2443126,0.1274831,0.2002015,0.2454318,0.121661775,0.201584,0.243497975,0.129180525,0.1996585,0.24505315,0.1309212,0.201001,0.243715625,0.12847045,0.201082,0.248401275,0.1230124,darkred,12,black,12,24,East
91,Nevill,ITN,0.078,0.078,0.078,0.1469435,0.18195785,0.09010202,0.146031,0.183855275,0.0856992,0.147118,0.180872525,0.091578293,0.1457495,0.182682925,0.093017075,0.147004,0.1814101,0.090851075,0.1467465,0.18508075,0.087592693,darkred,12,black,12,27,East
92,Bradley,ITN_IRS,0.168,0.247,0.111,0.156211,0.182078525,0.128974825,0.1189825,0.14938225,0.087243778,0.1582135,0.1819323,0.129062625,0.157302,0.1801456,0.1285389,0.157938,0.18281425,0.12903705,0.157524,0.183152175,0.13030765,aquamarine3,13,pink,13,3,West
93,Bradley,ITN_IRS,0.232,0.323,0.16,0.141859,0.166129675,0.11454125,0.1416795,0.1669364,0.115394675,0.1411335,0.164422275,0.117275425,0.1414555,0.1636434,0.11545565,0.1416785,0.1629755,0.11621635,0.1409505,0.165579025,0.114732625,aquamarine3,13,pink,13,3,West
